stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
350008,,"Mansionette @ Redwing/St Patricks Temporary stop","",37.334482,-120.464315,,,0,,,0,,
350009,,"Mansionette @ Kingfisher","",37.337178,-120.464243,,,0,,,0,,
350010,,"G St @ University/Tri College Center","",37.336005,-120.469138,,,0,,,0,,
350011,,"Yosemite Av @ Steamboat","",37.3322,-120.471042,,,0,,,0,,
350012,,"M St @ Yosemite Av","",37.332772,-120.478483,,,0,,,0,,
350014,,"R St @ Donna","",37.329605,-120.486932,,,0,,,0,,
350015,,"R St @ Buena Vista/Black Rascal Bike Path","",37.325791,-120.486977,,,0,,,0,,
350018,,"M St @ Fairfield","",37.321707,-120.478496,,,0,,,0,,
350026,,"27th @ Green)","",37.303741,-120.454877,,,0,,,0,,
350028,,"27th @ Parsons","",37.3036,-120.45100000000002,,,0,,,0,,
350041,,"Stretch @ Green","",37.300366,-120.455941,,,0,,,0,,
350045,,"Santa Fe @ Reef Apts","",37.302,-120.461115,,,0,,,0,,
350050,,"26th @ Glen (westbound)","",37.304219,-120.46164399999998,,,0,,,0,,
350052,,"26th @ 7th/Hoover MS (westbound)","",37.305485,-120.465105,,,0,,,0,,
350074,,"M St @ Social Security Office (northbound)","",37.318174,-120.478359,,,0,,,0,,
350076,,"M St @ CVRC","",37.321544,-120.478317,,,0,,,0,,
350125,,"Loughborough @ Target/Merced Mall (westbound)","",37.323519,-120.48561,,,0,,,0,,
350131,,"R St @ Olive/Sears (southbound)","",37.32,-120.487,,,0,,,0,,
350203,,"R St @ Olive/Sears (northbound)","",37.3206,-120.486759,,,0,,,0,,
350226,,"Social Security Office (southbound)","",37.318422,-120.478585,,,0,,,0,,
350231,,"M St @ N. Bear Creek (southbound)","",37.31374,-120.478711,,,0,,,0,,
350271,,"27th @ Glen","",37.30476,-120.459498,,,0,,,0,,
350275,,"26th @ Glen (eastbound)","",37.304147,-120.46175900000004,,,0,,,0,,
351095,,"Transpo (south/west)","",37.301814,-120.488202,,,0,,,0,,
358424,,"Transpo (north/east)","",37.301923,-120.488088,,,0,,,0,,
358492,,"Yosemite Pkwy @ Cypress (eastbound)","",37.295136,-120.463772,,,0,,,0,,
358499,,"Yosemite Pkwy @ Rose (eastbound)","",37.295111,-120.459729,,,0,,,0,,
358516,,"21st & Yosemite Pkwy (westbound)","",37.295595,-120.45419500000004,,,0,,,0,,
358524,,"21st @ Cherry (westbound)","",37.297602,-120.459635,,,0,,,0,,
358535,,"21st @ Orchard (westbound)","",37.299615,-120.46513800000002,,,0,,,0,,
358569,,"Amtrak (westbound)","",37.307034,-120.476957,,,0,,,0,,
358605,,"G St @ 26th (northbound)","",37.30805,-120.470293,,,0,,,0,,
358619,,"G St @ Alpine (northbound)","",37.31227,-120.46926100000002,,,0,,,0,,
358628,,"G St @ Alexander (northbound)","",37.315812,-120.469212,,,0,,,0,,
358645,,"G St @ Brookdale (northbound)","",37.321899,-120.469119,,,0,,,0,,
358659,,"G St @ El Portal (northbound)","",37.327082,-120.469021,,,0,,,0,,
358667,,"G St @ Donna (northbound)","",37.330616,-120.468931,,,0,,,0,,
358798,,"M St @ Donna (southbound)","",37.329865,-120.478536,,,0,,,0,,
358826,,"Loughborough Dr @ Laurel Glen Apts (westbound)","",37.323313,-120.481424,,,0,,,0,,
358882,,"Loughborough Dr @ Village Meadow Apt (westbound)","",37.323463,-120.489247,,,0,,,0,,
358892,,"Meadows Ave @ Jo Ann Fabrics (southbound)","",37.319251,-120.489343,,,0,,,0,,
358973,,"Devonwood Dr @ Dogwood (eastbound)","",37.316319,-120.492791,,,0,,,0,,
358984,,"Meadows Ave @ Olivewood (northbound)","",37.318151,-120.490649,,,0,,,0,,
359078,,"18th @ P St (eastbound)","",37.304673,-120.489071,,,0,,,0,,
359115,,"18th @ P St (westbound)","",37.304798,-120.489078,,,0,,,0,,
359119,,"18th @ S St / EDD (westbound)","",37.306633,-120.494013,,,0,,,0,,
359133,,"R St @ 23rd","",37.310426,-120.489083,,,0,,,0,,
359154,,"Meadows @ Olivewood","",37.317969,-120.490805,,,0,,,0,,
359160,,"Devondwood @ Dogwood (westbound)","",37.316404,-120.492666,,,0,,,0,,
